ONOMATEPWNYMO PWLHTH:    KAKARANTZAS IWANNHS      
POSO PROMHTHEIAS PWLHTH: 3690 
ONOMATEPWNYMO PWLHTH:    PAPADOPOYLOS LEWNIDAS    
POSO PROMHTHEIAS PWLHTH: 13175
ONOMATEPWNYMO PWLHTH:    IWANNOY EYLAMPIA         
POSO PROMHTHEIAS PWLHTH: 98760
ONOMATEPWNYMO PWLHTH:    KABAZIDHS GEWRGIOS       
POSO PROMHTHEIAS PWLHTH: 6184 
ONOMATEPWNYMO PWLHTH:    MPAGKATOYRIDIS ATANASIOS 
POSO PROMHTHEIAS PWLHTH: 102923
ONOMATEPWNYMO PWLHTH:    DHMOSTENOYS NEOFYTOS     
POSO PROMHTHEIAS PWLHTH: 28516
ONOMATEPWNYMO PWLHTH:    PAPOYTSANHS XARALAMPOS   
POSO PROMHTHEIAS PWLHTH: 22704
